source_row	gene_symbol	source_genetic_defect	disease	inheritance	mechanism	is_dominant	is_recessive	is_x_linked	omim	major_category	subcategory
256	IRF4	IRF4	IRF4 haplosufficiency	AD		true	false	false		Table 6 Defects in intrinsic and innate immunity	Subtable 9 Other inborn errors of immunity related to leukocytes
257	IRF7	IRF7	IRF7 deficiency	AR		false	true	false	605047	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection
258	IRF8	IRF8	IRF8 deficiency (AD)	AD		true	false	false	601565	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)
259	IRF8	IRF8	IRF8 deficiency (AR)	AR		false	true	false	601565	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)
260	IRF9	IRF9	IRF9 deficiency	AR		false	true	false		Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection
261	ISG15	ISG15	ISG15 deficiency	AR		false	true	false	147571	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)
262	ITCH	ITCH	ITCH deficiency	AR		false	true	false	606409	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation
263	ITGB2	ITGB2	Leukocyte adhesion deficiency type 1 (LAD1)	AR		false	true	false	600065	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility
264	ITK	ITK	ITK deficiency	AR		false	true	false	186973	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency
265	ITPKB	ITPKB	ITPKB deficiency	AR		false	true	false		Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID
266	ITPR3	ITPR3	ITPR3	AR		false	true	false		Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 8 Calcium Channel Defects
267	JAGN1	JAGN1	JAGN1 deficiency	AR		false	true	false	616012	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias
268	JAK1	JAK1	JAK1 GOF	AD	GOF	true	false	false	147795	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation
269	JAK1	JAK1	JAK1 (LOF)	AR		false	true	false	147795	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)
270	JAK3	JAK3	JAK3 deficiency	AR		false	true	false	600173	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID
271	KARS1	KARS1	KARS1 deficiency	AR		false	true	false	619147	Table 3 Predominantly Antibody Deficiencies	Subtable 2 Severe Reduction in at Least 2 Serum Immunoglobulin Isotypes with Normal or Low Number of B Cells, CVID Phenotype
272	KDM6A	KDM6A	Kabuki Syndrome 2 due to KDM6A deficiency	XL (females may be affected)		false	false	true	300128	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features
273	KMT2A	KMT2A	Widemann-Steiner syndrome	AD		true	false	false	605130	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features
274	KMT2D	KMT2D (MLL2)	Kabuki Syndrome 1 due to KMT2D deficiency	AD		true	false	false	602113	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features
275	LACC1	LACC1	LACC1 deficiency	AR		false	true	false	618795	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation
276	LAMTOR2	LAMTOR2	P14/LAMTOR2 deficiency	AR		false	true	false	610389	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias
277		Large (3Mb) deletion of 22q11.2	Chromosome 22q11.2 deletion Syndrome (22q11.2DS) (AKA DiGeorge/velocardiofacial syndrome)	AD		true	false	false	602054	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies
278	LAT	LAT	LAT deficiency	AR		false	true	false	602354	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID
279	LCK	LCK	LCK deficiency	AR		false	true	false	615758	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency
280	LCP2	LCP2	SLP76 deficiency	AR		false	true	false		Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID
281	LIG1	LIG1	Ligase I deficiency	AR		false	true	false	126391	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1
282	LIG4	LIG4	DNA ligase IV deficiency	AR		false	true	false	601837	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID
283	LPIN2	LPIN2	Chronic recurrent multifocal osteomyelitis and congenital dyserythropoietic anemia (Majeed syndrome)	AR		false	true	false	609628	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions
284	LRBA	LRBA	LRBA deficiency	AR		false	true	false	606453	Table 4 Diseases of Immune Dysregulation	Subtable 3 Regulatory T Cell Defects
285	LSM11	LSM11	LSM11 deficiency	AR		false	true	false	619486	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies
286	LY96	LY96	MD2 deficiency	AR		false	true	false		Table 6 Defects in intrinsic and innate immunity	Subtable 7 TLR Signaling Pathway Deficiency
287	LYN	LYN	LYN GOF disease	AD	GOF	true	false	false	620376	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions
288	LYST	LYST	Chediak-Higashi syndrome	AR		false	true	false	606897	Table 4 Diseases of Immune Dysregulation	Subtable 2 FHL Syndromes with Hypopigmentation
289	MAD2L2	MAD2L2	Fanconi Anemia Type V	AR		false	true	false	617243	Table 9 Bone marrow failure	
290	MAGT1	MAGT1	MAGT1 deficiency (XMEN)	XL		false	false	true	300853	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions
291	MALT1	MALT1	MALT1 deficiency	AR		false	true	false	615468	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency
292	MAN2B2	MAN2B2	MAN2B2 deficiency	AR		false	true	false		Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency
293	MAP1LC3B2	MAP1LC3B2	MAP1LC3B2	AD		true	false	false		Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)
294	MAP3K14	MAP3K14	NIK deficiency	AR		false	true	false	604655	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency
295	MAPK8	MAPK8	MAPK8 deficiency	AD		true	false	false		Table 6 Defects in intrinsic and innate immunity	Subtable 6 Predisposition to Mucocutaneous Candidiasis
296	MASP2	MASP2	MASP2 deficiency	AR		false	true	false	605102	Table 8 Complement Deficiencies	
297	MCM10	MCM10	MCM10 deficiency	AR		false	true	false		Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1
298	MCM4	MCM4	MCM4 deficiency	AR		false	true	false	602638	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1
